Title: Great Resignation and Employee Benefits: 20 Million Americans Leave Their Jobs, Impact on Benefits
URL: https://www.youtube.com/watch?v=Nwy6eSzYVcw
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is the great resignation and its impact on employee benefits. So this video comes from a lot of data from a recent 60 minutes article or story I should say that is actually based upon a bunch of LinkedIn data. All of you know I love LinkedIn so this is a treasure trove of fantastic information about the great resignation which I'm sure many of you are already know about. So what is the great resignation? So 20 million workers have quit their job in the last six months of 2021. In other words July through December of 2021 last year 20 million people quit their jobs. They only started keeping track of the statistics 20 years ago and this is by far the highest it has ever been. The quit rate is the highest it's ever been hence the name the great resignation or the great quit. So now obviously when people quit their job it leaves unfilled job positions. So let's look at the percent of jobs unfilled by industry. So in education 4.4 percent of all job positions are unfilled. In retail 6.3 percent of job positions are unfilled. In healthcare 8.2 percent of job positions are unfilled. And the highest industry is hospitality hotels and restaurants were 8.9 percent almost 10 percent almost one in every 10 positions in hospital or excuse me hotels and restaurants is unfilled. Now as a result of that in the past year the hourly wage is the highest it also has ever been for hospitality workers. It's now $18.70 an hour which is up 11 percent from the previous year. So obviously with the laws of supply and demand if there is need for more workers one of the things you gotta do is you gotta pay them more. So we're already seeing wages go up for hospitality workers. Now this wage increase needs to be put in context. So your typical hospitality worker makes $651 per week. Now keep in mind for the labor force in general the average weekly wage is $837. So that is 30 percent more than what hospitality workers make. So in other words hospitality workers are they're low paying jobs. So go figure that one of the lowest paying sectors of the economy has the most jobs that are unfilled and so the wages are going up as a result of that. Now another important dynamic about hospitality work is that 34 percent of hospitality positions are part-time and that is super high. So if you compare it to the over overall labor force only 15 percent of all workers work part-time. So it's it's a lot more than double the amount of part-time work in hospitality. And you kind of think about that right if you think about people that might be working at a front desk at a hotel or that might be working as a waiter or even as a manager at a local restaurant that they're working part-time and not full-time a lot of the time. So the one of the other big trends that LinkedIn points out to 60 minutes in their expose about the great resignation is that remote work has obviously changed dramatically as well. Where pre-pandemic only one in every 67 job listings was for a remote position where you could work at home. Whereas now one in every seven jobs offered is remote. That is an increase from 1.5 percent of all positions to 15 percent of all positions. In other words it is a 10x increase in being able to work remotely. Now what they also found was that workers were 2.5 more times, 2.5 times more likely to apply to a job if it was remote than if it wasn't remote. So in other words being remote is more attractive for people. Go figure. So what you have here as the result of the great resignation with 20 million people leaving their jobs is employers are trying to do things to lure people in. So what are they doing? They're increasing wages. Talk about here for the hospitality workers. 2. They're increasing flexibility. You can almost, in terms of the remote working, you can almost think of that as like a lifestyle benefit. Okay so they're paying them more. They're giving them a better lifestyle. I mean I think the average commute time in America is like 30 minutes each way. So like by working at home you save an hour a day. That's a lot of time. Like if you have kids that is a lot of time. If you don't have kids that is a lot of time. So the lifestyle improvement from remote work is tremendous for a lot of people. Yeah and finally let's talk about benefits. And this really comes from, because I'm trying to put together what I'm seeing in the marketplace with what I'm reading in the newspaper and all these statistics. So last fall I talked to about believe it or not it's probably about 120 different insurance brokers and benefit consultants and the employers that they work with. And guess what? They were telling me a lot of these things. But we were having specific discussions around benefits and health insurance and health care for their employees. And this is what they were saying. One, they were offering a lot more benefits to their part-time employees. So historically they had offered a variety of benefits to their full-time employees. But they historically had not offered them to their part-time employees. And now I saw across many of those 120 conversations, and just in the past week I talked to like another 20 brokers and benefits and the trend is only accelerating where more employers and brokers and consultants are wanting to offer more benefits to their part-time employees in addition to just their full-time. In order to attract the part-time employees right 34% of these hospitality jobs are part-time. They need to fill those part-time jobs too. Okay and then also that with this remote work dynamic the benefits also need to not be geographically limited. The benefits need to be not geographically limited. So employers are looking for benefits that they can give to their part-timers and also the employee can take advantage of no matter where they are. Because with all these remote workers the likelihood is that they're going to be all over the place. So I wanted to share with you these statistics around the great resignation and thank you for watching.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is
[0:06 - 0:15]  the great resignation and its impact on employee benefits. So this video comes from a lot of data
[0:15 - 0:23]  from a recent 60 minutes article or story I should say that is actually based upon a bunch
[0:23 - 0:30]  of LinkedIn data. All of you know I love LinkedIn so this is a treasure trove of fantastic information
[0:30 - 0:37]  about the great resignation which I'm sure many of you are already know about. So what is the
[0:37 - 0:48]  great resignation? So 20 million workers have quit their job in the last six months of 2021. In other
[0:48 - 0:55]  words July through December of 2021 last year 20 million people quit their jobs. They only started
[0:55 - 1:03]  keeping track of the statistics 20 years ago and this is by far the highest it has ever been. The
[1:03 - 1:09]  quit rate is the highest it's ever been hence the name the great resignation or the great quit. So
[1:09 - 1:17]  now obviously when people quit their job it leaves unfilled job positions. So let's look at the percent
[1:17 - 1:32]  of jobs unfilled by industry. So in education 4.4 percent of all job positions are unfilled. In retail 6.3 percent
[1:32 - 1:43]  of job positions are unfilled. In healthcare 8.2 percent of job positions are unfilled. And the highest industry
[1:43 - 1:55]  is hospitality hotels and restaurants were 8.9 percent almost 10 percent almost one in every 10 positions in
[1:56 - 2:07]  hospital or excuse me hotels and restaurants is unfilled. Now as a result of that in the past year the hourly wage
[2:07 - 2:16]  is the highest it also has ever been for hospitality workers. It's now $18.70 an hour which is up 11 percent
[2:17 - 2:27]  from the previous year. So obviously with the laws of supply and demand if there is need for more workers
[2:27 - 2:34]  one of the things you gotta do is you gotta pay them more. So we're already seeing wages go up for
[2:34 - 2:41]  hospitality workers. Now this wage increase needs to be put in context. So your typical hospitality worker
[2:41 - 2:53]  makes $651 per week. Now keep in mind for the labor force in general the average weekly wage is $837.
[2:54 - 3:02]  So that is 30 percent more than what hospitality workers make. So in other words hospitality workers are
[3:02 - 3:11]  they're low paying jobs. So go figure that one of the lowest paying sectors of the economy has
[3:12 - 3:20]  the most jobs that are unfilled and so the wages are going up as a result of that. Now another important
[3:20 - 3:29]  dynamic about hospitality work is that 34 percent of hospitality positions are part-time and that is
[3:29 - 3:39]  super high. So if you compare it to the over overall labor force only 15 percent of all workers work part-time.
[3:40 - 3:46]  So it's it's a lot more than double the amount of part-time work in hospitality. And you kind of think
[3:46 - 3:52]  about that right if you think about people that might be working at a front desk at a hotel or that might be
[3:52 - 3:58]  working as a waiter or even as a manager at a local restaurant that they're working part-time
[3:58 - 4:05]  and not full-time a lot of the time. So the one of the other big trends that LinkedIn points out to 60
[4:05 - 4:13]  minutes in their expose about the great resignation is that remote work has obviously changed dramatically
[4:13 - 4:22]  as well. Where pre-pandemic only one in every 67 job listings was for a remote position where you could
[4:22 - 4:36]  work at home. Whereas now one in every seven jobs offered is remote. That is an increase from 1.5 percent
[4:36 - 4:46]  of all positions to 15 percent of all positions. In other words it is a 10x increase in being able to work
[4:46 - 4:56]  remotely. Now what they also found was that workers were 2.5 more times, 2.5 times more likely to apply
[4:56 - 5:02]  to a job if it was remote than if it wasn't remote. So in other words being remote is more attractive for
[5:02 - 5:08]  people. Go figure. So what you have here as the result of the great resignation with 20 million people
[5:08 - 5:14]  leaving their jobs is employers are trying to do things to lure people in. So what are they doing?
[5:14 - 5:20]  They're increasing wages. Talk about here for the hospitality workers. 2. They're increasing flexibility.
[5:20 - 5:26]  You can almost, in terms of the remote working, you can almost think of that as like a lifestyle benefit.
[5:26 - 5:31]  Okay so they're paying them more. They're giving them a better lifestyle. I mean I think the average
[5:31 - 5:36]  commute time in America is like 30 minutes each way. So like by working at home you save an hour a day.
[5:36 - 5:44]  That's a lot of time. Like if you have kids that is a lot of time. If you don't have kids that is a lot of time.
[5:44 - 5:50]  So the lifestyle improvement from remote work is tremendous for a lot of people.
[5:50 - 5:56]  Yeah and finally let's talk about benefits. And this really comes from, because I'm trying to put
[5:56 - 6:01]  together what I'm seeing in the marketplace with what I'm reading in the newspaper and all these
[6:01 - 6:08]  statistics. So last fall I talked to about believe it or not it's probably about 120 different insurance
[6:08 - 6:13]  brokers and benefit consultants and the employers that they work with. And guess what? They were telling me a
[6:13 - 6:18]  lot of these things. But we were having specific discussions around benefits and health insurance
[6:18 - 6:22]  and health care for their employees. And this is what they were saying. One, they were offering a
[6:22 - 6:29]  lot more benefits to their part-time employees. So historically they had offered a variety of benefits
[6:29 - 6:34]  to their full-time employees. But they historically had not offered them to their part-time employees.
[6:34 - 6:43]  And now I saw across many of those 120 conversations, and just in the past week I talked to like another
[6:43 - 6:50]  20 brokers and benefits and the trend is only accelerating where more employers and brokers
[6:50 - 6:55]  and consultants are wanting to offer more benefits to their part-time employees in addition to just their
[6:55 - 6:59]  full-time. In order to attract the part-time employees right 34% of these hospitality jobs are part-time.
[6:59 - 7:05]  They need to fill those part-time jobs too. Okay and then also that with this remote work dynamic
[7:05 - 7:12]  the benefits also need to not be geographically limited. The benefits need to be not geographically
[7:12 - 7:18]  limited. So employers are looking for benefits that they can give to their part-timers and also the
[7:18 - 7:22]  employee can take advantage of no matter where they are. Because with all these remote workers the
[7:22 - 7:26]  likelihood is that they're going to be all over the place. So I wanted to share with you these statistics
[7:26 - 7:33]  around the great resignation and thank you for watching.
