Title: Physician Culture Impact on Payment: Will Getting Rid of 'Bad Apple' Doctors Fix It?
URL: https://www.youtube.com/watch?v=kc_TTpWBsT4
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Physician Cultures Impact on Payment. Now this video comes as a response to the recent book reviews that I've done by authors like Dr. Vivian Lee, Dr. Marty McCary, Dr. Artugul Wande, and Dr. Robert Pearl, where all four of those doctors essentially point out significant problems with physician culture and how it relates to payment for healthcare in that there are aspects of physician culture that absolutely are driving healthcare costs through the roof. But let's examine that because there's been a lot of pushback by physicians and other people in regards to that point of view. Like look, we're doctors, we care for patients. We're not some greedy money-grubbing scoundrels that you make us out to be. It's unfair of you to say physician culture is as greedy as you say it is. So let's unpack that. Let's look at that because I think that those physicians that are pushing back, like to a certain extent they have a point. So let's examine that, okay? So first of all, what is culture? Let's look at a Harvard Business Review article definition of it. It's very good. I'll leave a link to it in the show notes. So culture is the consistent, observable patterns of behavior within an organization. Okay, so here it focuses on behavior. It's what people do. It's consistent and otherwise it's what they repeatedly do. And it's observable, right? So this is, we're talking about objective stuff, right? So there's many different definitions of culture. This is just a Harvard Business Review definition of culture. But I think it's very useful. And of course, who is exhibiting the patterns of behavior is individual people. So we've got to talk about the individual people that make up the organizations that are exhibiting this behavior. So in this case, it's physicians. And now I've got to bring up an analogy. So for those of you that subscribe to my newsletter, you see me post a lot of pictures around my farm. So I live on a small farm, okay? And so here you have a beautiful field of wheat. And anyone who's ever driven by a beautiful field of wheat or corn or hay, I mean, it's gorgeous. It's perfectly uniform. The rows are perfectly straight. They're perfectly separated by the same space. The height of the wheat or the corn is all the same. I mean, it's gorgeous, right? I mean, we even write songs about it. Amber waves of grain. Okay. Now, you live also probably driven by a field that's filled with weeds, okay? To a certain extent, my farm kind of looks like this one. Okay. So again, you could be growing wheat or hay, but there's weeds amongst it. And it really makes the field look bad. A lot of times the weeds stick up higher than the rest of the wheat. They're a different color. They're soaking up nutrients and sunlight that the wheat should be getting. Now notice in this field, the vast majority of it's still wheat. You only have one, two, three, four. You only have six weeds, but the six weeds can make the field look terrible, even though the majority of it is still wheat. So what we really have here with physician culture and the problem of physician quote unquote culture driving high healthcare costs is really a question of wheat versus weeds. And when I'm talking about wheat as far as physicians go, I'm talking about those. It's actually a very straightforward definition. It's physicians that put the patient first. That's the lens through which they look at their decisions. It's like, what would I do if I put the patient first? And that's what I was taught in medical school and residency. I mean, that's the right thing to do. That's what we should be doing. And then there is versus, okay, well, what would be some things other than patients that might be put first? Well, if money is put first or power is put first or prestige is put first or getting promoted is put first, then those things are weeds. Right? Because you can absolutely have situations where it actually harms the patient because you've put those other things first and not the patient first. Okay? So that's the definition between wheat and weeds. All right? So, and it's just the classic saying, right? The bad apple spoils the bunch. So you can have a majority of good apples, but if you've got a bad apple, it's going to spoil the bunch. Likewise, this is a more crass analogy, but this is a favorite of Charlie Munger's, which is, look, if you've got a bowl full of raisins and then somebody just puts a few rabbit terns in the bowl of raisins, are you really going to eat that bowl of raisins? This is probably not. It's still majority raisins, but at the end of the day, the rabbits have spoiled the bowl of raisins. Okay. So what we have here then, and of course, it's not all good. It's not all bad when it comes to culture. It's on a continuum. So what I've drawn here is a continuum of cultures with 100% good here on one side and 100% good here on one side. And 100% bad culture here on this side. And here we have with 100% good culture, you've got 100% wheat. There's no bad apples to rot the bunch. And on this side, you have nothing but bad apples. You've got nothing but weeds where everything is rotten. Now, of course, most organizations are somewhere in the middle. And to a certain extent, which culture dominates? Is it a positive patient-centric culture? Or is it a negative money, power, prestige-centric culture? It really depends upon, one, who's got the majority? And two, what do the people in positions of power exhibit? Right? So, there are specific examples of companies with amazing cultures. And they have taken specific actions to ensure they have as much wheat as humanly possible and as few weeds as possible. Let's go through those examples. First one is Zappos. Of course, before the tragic passing of Tony Hsieh, Zappos was known for its amazing corporate culture. Now, when they hired employees, they hired for culture in addition to their skills. And they had an ingenious way of measuring whether or not that person was wheat or weeds. And that was, so they had like this campus. The interviewee would come on campus, they'd park their car, and they'd have to get in a shuttle bus to get from their car in the parking lot to the Zappos building. And they actually interviewed, they being the Zappos hiring people, they interviewed the driver of the shuttle and asked him or her, how did that prospective employee treat you? Aha! What an ingenious idea! The person was probably letting down their guard. They were probably more of their natural self when they were on the shuttle. And they might not have been on their best behavior. They might have been in their more accurate behavior. And if they, and it's like, oh, it's a shuttle bus driver. That person has no impact on me. Why should I be nice to them? There's nothing that they can do to me. And if they had that type of attitude and they were rude to the shuttle bus driver, the shuttle bus driver would be spoken to by the interviewers at Zappos. And if the shuttle bus driver was like, yeah, this person's a jerk, then they wouldn't hire them. If every other interviewer thought it was a fantastic interview, the person was highly competent, they would not hire them, right? So they hired for culture above anything else. And if you didn't pass that culture test with the shuttle bus driver, you failed. Likewise, Southwest Airlines, another organization known for its amazing employee cultures. And I actually worked with Southwest Airlines quite a bit because they were our customer. I actually went to, they were invited to go to several events of theirs and I would speak, etc. Now, their HR people, I was sitting at this round table with their HR people, they're like, look, one of our mantras, they were telling me, one of their mantras at Southwest Airlines is, you hire for attitude, you train for skill. And I was like, whoa, that's so obvious, right? Because if the person has the skill, but they're a total jerk, they're going to ruin the culture. And you can always teach somebody the skills. You can't always teach somebody to change their attitude. Sometimes you can, but not always. So they were very careful about hiring for the right attitude for the wheat. And, you know, at the end of the day, this is really a question of, right? Patience first versus the other things. It's really a question of selfishness, right? When we get down to it, like, okay, what creates bad culture is jerks. And what sort of defines jerks is selfishness. Like, it's not that complicated. Okay. So what's my point here in regards to payment? Feed for service is fertilizer. It's fertilizer for the wheat, but it's also fertilizer for the weeds. In other words, if you're doing more procedures than you need to do, if you're doing more expensive procedures than you need to do, if you're doing things that increase your remuneration and either extract money and extort money from patients and employers, or potentially even harm them because you're doing too much, well, feed for service is fantastic fertilizer to make you grow more. So the weeds can flourish. Now, there's a ton of wheat that's benefiting from the fertilizer, too. And so all the wheat cries out, don't take away our fertilizer. Don't take away our fee for service. We need it to grow. And that's true. And they're not taking advantage of the fertilizer. They're not taking advantage of the fee for service. And the majority of the field looks like this. And so anytime there's a criticism of physician culture, all the wheat cries out and it's like, look, we're not scoundrels. We're not taking advantage of this. But they don't say anything about the weeds. Okay? So, listen, I talk a lot about getting rid of fee for service and going to capitation or value days, payments or prepaid care, whatever you call it. Okay, fine. I'll let you have your fee for service. We don't have to change from fee for service. Let's keep fee for service. But under one condition, we have aggressive weed control. What is that? That is transparency. We got to be able to see the weeds what we are so that patients can just steer away from them. Employers can steer away from them. So we need to have the utmost transparency so we can see the weeds so we know what we're dealing with. Two, there needs to be more self-policing of physicians. So, fine, physicians, you want this? Hey, the medical boards themselves or the physician practices or whatever, you got to get rid of the bad apples. You got to get rid of the weeds. That was one of the prime examples in the Netflix series, The Pharmacist, where that Dr. Claggett, who was running an Oxycontin pill mill in New Orleans, like the Louisiana Medical Board wouldn't get rid of her. Like, here was one of the most egregious abuses of her physician prescribing privileges. And there's so many things that the medical board of Louisiana could have gone after her about and they didn't. And there's so many less egregious things that arguably, whether it's the medical board or the hospital, you know, whoever, physician practice, like you got to do something about weed control. Likewise, what's another thing you can do for weed control? You can just pull out the weeds, okay? How do you pull out the weeds? Well, we kind of have that with the Office of the Inspector General within the Department of Health and Human Services where they go and they search out and investigate fraud, waste, and abuse. And arguably, what if you made the OIG 10 times bigger? What if employers were like, listen, we don't rely on the carriers anymore to do fraud, waste, and abuse. We're going to do it ourselves and we're going to have our own private investigators get in there and pull out the weeds because frankly our carriers are not doing a good job of pulling out the weeds. What if we did that, right? So, listen, you want fee-for-service? Fine. You can have it. But let's do some weed control. And that's my point for today. Thank you for watching the healthcare scene.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z.
[0:05 - 0:10]  Today's topic is Physician Cultures Impact on Payment.
[0:10 - 0:17]  Now this video comes as a response to the recent book reviews that I've done by authors like Dr. Vivian Lee,
[0:17 - 0:24]  Dr. Marty McCary, Dr. Artugul Wande, and Dr. Robert Pearl, where all four of those doctors essentially point out
[0:24 - 0:33]  significant problems with physician culture and how it relates to payment for healthcare in that there are aspects of physician culture
[0:33 - 0:36]  that absolutely are driving healthcare costs through the roof.
[0:36 - 0:45]  But let's examine that because there's been a lot of pushback by physicians and other people in regards to that point of view.
[0:45 - 0:53]  Like look, we're doctors, we care for patients. We're not some greedy money-grubbing scoundrels that you make us out to be.
[0:53 - 1:00]  It's unfair of you to say physician culture is as greedy as you say it is.
[1:00 - 1:06]  So let's unpack that. Let's look at that because I think that those physicians that are pushing back,
[1:06 - 1:09]  like to a certain extent they have a point. So let's examine that, okay?
[1:09 - 1:13]  So first of all, what is culture? Let's look at a Harvard Business Review article definition of it.
[1:13 - 1:15]  It's very good. I'll leave a link to it in the show notes.
[1:15 - 1:22]  So culture is the consistent, observable patterns of behavior within an organization.
[1:22 - 1:28]  Okay, so here it focuses on behavior. It's what people do. It's consistent and otherwise it's what they repeatedly do.
[1:28 - 1:32]  And it's observable, right? So this is, we're talking about objective stuff, right?
[1:32 - 1:37]  So there's many different definitions of culture. This is just a Harvard Business Review definition of culture.
[1:37 - 1:44]  But I think it's very useful. And of course, who is exhibiting the patterns of behavior is individual people.
[1:44 - 1:52]  So we've got to talk about the individual people that make up the organizations that are exhibiting this behavior.
[1:52 - 1:56]  So in this case, it's physicians. And now I've got to bring up an analogy.
[1:56 - 2:04]  So for those of you that subscribe to my newsletter, you see me post a lot of pictures around my farm.
[2:04 - 2:12]  So I live on a small farm, okay? And so here you have a beautiful field of wheat.
[2:12 - 2:19]  And anyone who's ever driven by a beautiful field of wheat or corn or hay, I mean, it's gorgeous.
[2:19 - 2:27]  It's perfectly uniform. The rows are perfectly straight. They're perfectly separated by the same space.
[2:27 - 2:32]  The height of the wheat or the corn is all the same. I mean, it's gorgeous, right?
[2:32 - 2:36]  I mean, we even write songs about it. Amber waves of grain. Okay.
[2:36 - 2:42]  Now, you live also probably driven by a field that's filled with weeds, okay?
[2:42 - 2:45]  To a certain extent, my farm kind of looks like this one. Okay.
[2:45 - 2:52]  So again, you could be growing wheat or hay, but there's weeds amongst it.
[2:52 - 2:56]  And it really makes the field look bad. A lot of times the weeds stick up higher than the rest of the wheat.
[2:56 - 3:02]  They're a different color. They're soaking up nutrients and sunlight that the wheat should be getting.
[3:02 - 3:08]  Now notice in this field, the vast majority of it's still wheat. You only have one, two, three, four.
[3:08 - 3:17]  You only have six weeds, but the six weeds can make the field look terrible, even though the majority of it is still wheat.
[3:17 - 3:31]  So what we really have here with physician culture and the problem of physician quote unquote culture driving high healthcare costs is really a question of wheat versus weeds.
[3:31 - 3:35]  And when I'm talking about wheat as far as physicians go, I'm talking about those.
[3:35 - 3:37]  It's actually a very straightforward definition.
[3:37 - 3:40]  It's physicians that put the patient first.
[3:40 - 3:43]  That's the lens through which they look at their decisions.
[3:43 - 3:46]  It's like, what would I do if I put the patient first?
[3:46 - 3:49]  And that's what I was taught in medical school and residency.
[3:49 - 3:52]  I mean, that's the right thing to do. That's what we should be doing.
[3:52 - 3:58]  And then there is versus, okay, well, what would be some things other than patients that might be put first?
[3:58 - 4:05]  Well, if money is put first or power is put first or prestige is put first or getting promoted is put first, then those things are weeds.
[4:05 - 4:14]  Right? Because you can absolutely have situations where it actually harms the patient because you've put those other things first and not the patient first.
[4:14 - 4:16]  Okay? So that's the definition between wheat and weeds.
[4:16 - 4:20]  All right? So, and it's just the classic saying, right? The bad apple spoils the bunch.
[4:20 - 4:24]  So you can have a majority of good apples, but if you've got a bad apple, it's going to spoil the bunch.
[4:24 - 4:32]  Likewise, this is a more crass analogy, but this is a favorite of Charlie Munger's, which is, look, if you've got a bowl full of raisins
[4:32 - 4:40]  and then somebody just puts a few rabbit terns in the bowl of raisins, are you really going to eat that bowl of raisins?
[4:40 - 4:47]  This is probably not. It's still majority raisins, but at the end of the day, the rabbits have spoiled the bowl of raisins.
[4:47 - 4:54]  Okay. So what we have here then, and of course, it's not all good. It's not all bad when it comes to culture.
[4:54 - 5:01]  It's on a continuum. So what I've drawn here is a continuum of cultures with 100% good here on one side and 100% good here on one side.
[5:01 - 5:08]  And 100% bad culture here on this side. And here we have with 100% good culture, you've got 100% wheat.
[5:08 - 5:14]  There's no bad apples to rot the bunch. And on this side, you have nothing but bad apples.
[5:14 - 5:21]  You've got nothing but weeds where everything is rotten. Now, of course, most organizations are somewhere in the middle.
[5:21 - 5:32]  And to a certain extent, which culture dominates? Is it a positive patient-centric culture? Or is it a negative money, power, prestige-centric culture?
[5:32 - 5:43]  It really depends upon, one, who's got the majority? And two, what do the people in positions of power exhibit? Right?
[5:43 - 5:59]  So, there are specific examples of companies with amazing cultures. And they have taken specific actions to ensure they have as much wheat as humanly possible and as few weeds as possible.
[5:59 - 6:10]  Let's go through those examples. First one is Zappos. Of course, before the tragic passing of Tony Hsieh, Zappos was known for its amazing corporate culture.
[6:10 - 6:17]  Now, when they hired employees, they hired for culture in addition to their skills.
[6:17 - 6:22]  And they had an ingenious way of measuring whether or not that person was wheat or weeds.
[6:22 - 6:32]  And that was, so they had like this campus. The interviewee would come on campus, they'd park their car, and they'd have to get in a shuttle bus to get from their car in the parking lot to the Zappos building.
[6:32 - 6:44]  And they actually interviewed, they being the Zappos hiring people, they interviewed the driver of the shuttle and asked him or her,
[6:44 - 6:55]  how did that prospective employee treat you? Aha! What an ingenious idea! The person was probably letting down their guard.
[6:55 - 7:01]  They were probably more of their natural self when they were on the shuttle. And they might not have been on their best behavior.
[7:01 - 7:08]  They might have been in their more accurate behavior. And if they, and it's like, oh, it's a shuttle bus driver. That person has no impact on me.
[7:08 - 7:14]  Why should I be nice to them? There's nothing that they can do to me. And if they had that type of attitude and they were rude to the shuttle bus driver,
[7:14 - 7:23]  the shuttle bus driver would be spoken to by the interviewers at Zappos. And if the shuttle bus driver was like, yeah, this person's a jerk, then they wouldn't hire them.
[7:23 - 7:29]  If every other interviewer thought it was a fantastic interview, the person was highly competent, they would not hire them, right?
[7:29 - 7:38]  So they hired for culture above anything else. And if you didn't pass that culture test with the shuttle bus driver, you failed.
[7:38 - 7:43]  Likewise, Southwest Airlines, another organization known for its amazing employee cultures.
[7:43 - 7:47]  And I actually worked with Southwest Airlines quite a bit because they were our customer.
[7:47 - 7:51]  I actually went to, they were invited to go to several events of theirs and I would speak, etc.
[7:51 - 7:59]  Now, their HR people, I was sitting at this round table with their HR people, they're like, look, one of our mantras, they were telling me, one of their mantras at Southwest Airlines is,
[7:59 - 8:07]  you hire for attitude, you train for skill. And I was like, whoa, that's so obvious, right?
[8:07 - 8:12]  Because if the person has the skill, but they're a total jerk, they're going to ruin the culture.
[8:12 - 8:18]  And you can always teach somebody the skills. You can't always teach somebody to change their attitude.
[8:18 - 8:24]  Sometimes you can, but not always. So they were very careful about hiring for the right attitude for the wheat.
[8:24 - 8:27]  And, you know, at the end of the day, this is really a question of, right?
[8:27 - 8:31]  Patience first versus the other things. It's really a question of selfishness, right?
[8:31 - 8:35]  When we get down to it, like, okay, what creates bad culture is jerks.
[8:35 - 8:39]  And what sort of defines jerks is selfishness. Like, it's not that complicated.
[8:39 - 8:42]  Okay. So what's my point here in regards to payment?
[8:42 - 8:50]  Feed for service is fertilizer. It's fertilizer for the wheat, but it's also fertilizer for the weeds.
[8:50 - 8:56]  In other words, if you're doing more procedures than you need to do, if you're doing more expensive procedures than you need to do,
[8:56 - 9:03]  if you're doing things that increase your remuneration and either extract money and extort money from patients and employers,
[9:03 - 9:11]  or potentially even harm them because you're doing too much, well, feed for service is fantastic fertilizer to make you grow more.
