Title: 12 Medicare Administrative Contractors Process 70% of All Medicare Claims
URL: https://www.youtube.com/watch?v=SKPWQRchGA4
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and welcome to A Healthcare Z. Today's topic is Medicare Administrative Contractors or MACs. So in a previous video I mentioned MACs as it related to Medicare denials, but as it turns out, Medicare does not even process their own claims. They contract it out. And who do they contract it out to? They contract it out to MACs. So they process claims for Medicare Part A and B. In other words, fee-for-service Medicare, or what is referred to as traditional Medicare. So that's 70% of Medicare beneficiaries, right? With the remaining 30% being the Medicare Advantage folks, right? So we're not talking about that 30% Medicare Advantage. We're talking about the 70 cent Medicare fee-for-service traditional Medicare folks. Okay, next up. There are 12 MACs across America. They are given geographic territories. They process $367 billion worth of Medicare claims a year, which works out to 1.2 billion claims. So it's a lot of money and it's a lot of volume. Okay, now we're not going to go through all 12, but we're going to go through a couple of them. Okay, one of them is called Novitas. It's a big one. It is responsible for Texas, Pennsylvania, New Jersey, Delaware, Maryland, Colorado, New Mexico, Oklahoma, Arkansas, Louisiana, and Alabama. Okay, you look into the... You go to this Novitas website, it is like straight out of like 1998. Like it is a... I'm sorry. It is a fairly antiquated website. It's kind of odd. It's... It's odd. Okay, next. Okay, so it's owned by Guidewell Source. Okay, it's got a parent company. It's a parent company. It's Guidewell Source. That's kind of weird. Okay, Guidewell Source has a parent company. It's called Guidewell. It's headquartered in Jacksonville, Florida. What in the world is Guidewell? Who's ever heard of that? It's Florida Blue. It's the Blue Cross Blue Shield plan of Florida. So you've got Guidewell up here and you've got Florida Blue here and you've got Novitas here, right? So they're different subsidiaries, but essentially you could think of it as like, okay, like the same company that owns Blue Cross Blue Shield does the claims processing for all these states for Medicare. Okay. Oh, by the way, this holding company, Guidewell, they have $19 billion a year in revenue. Okay. They would be 165 on the Fortune 500 if they were a publicly traded company. They would be larger than Netflix. They would be larger than Kimberly Clark, the maker of Huggies Diapers and Kleenex. Okay. So like there's a lot of money in Medicare claims processing. Okay. Next up, Noridian. Okay. Again, kind of this NO theme we've got going on here. Again, it's a big one because they do Medicare claims processing for California and the rest of the Western United States. That's Oregon, Washington, Nevada, Utah, some other states. Okay. What in the world is that? It's Blue Cross Blue Shield of North Dakota. It's headquartered in Fargo. You need, and look at this, they process 15% of all Medicare claims, right? So, oh, by the way, I couldn't find their revenue. I could not find their revenue. But listen, if we know that Guidewell's doing $19 billion in revenue, then, you know, little Meridian in Fargo, North Dakota, it's probably doing a lot. Okay. Again, if you go to their website, the pictures of their board of directors, like two of them are not even in focus and like none of them match. It's just, it's just odd. Okay. So what's my point? My point is, is that, you know, if we're talking about either expanding Medicare coverage or Medicare for all, then like these MACs are a big deal now, and they're going to become an even bigger deal, right? They determine all of the denials by Medicare. They process all the claims. By the way, they do all the provider relations, like all the docs and hospitals, if they have any questions about Medicare, they don't call the government. They call these MACs. So I would just say, listen, I need your help. If you could just kind of look into what Meridian's actual revenue was, that would be helpful. And like whatever you could do to like help, like find more out about these MACs and share that with me, that would be super helpful too, because there needs to be more transparency about them. And that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and welcome to A Healthcare Z. Today's topic is Medicare
[0:06 - 0:12]  Administrative Contractors or MACs. So in a previous video I mentioned MACs as it related
[0:12 - 0:21]  to Medicare denials, but as it turns out, Medicare does not even process their own claims.
[0:22 - 0:27]  They contract it out. And who do they contract it out to? They contract it out to MACs. So
[0:27 - 0:31]  they process claims for Medicare Part A and B. In other words, fee-for-service Medicare,
[0:32 - 0:37]  or what is referred to as traditional Medicare. So that's 70% of Medicare beneficiaries, right?
[0:37 - 0:42]  With the remaining 30% being the Medicare Advantage folks, right? So we're not talking about that 30%
[0:42 - 0:47]  Medicare Advantage. We're talking about the 70 cent Medicare fee-for-service traditional Medicare
[0:47 - 0:53]  folks. Okay, next up. There are 12 MACs across America. They are given geographic territories.
[0:53 - 1:02]  They process $367 billion worth of Medicare claims a year, which works out to 1.2 billion claims.
[1:02 - 1:07]  So it's a lot of money and it's a lot of volume. Okay, now we're not going to go through all 12,
[1:07 - 1:12]  but we're going to go through a couple of them. Okay, one of them is called Novitas. It's a big one.
[1:12 - 1:16]  It is responsible for Texas, Pennsylvania, New Jersey, Delaware, Maryland, Colorado, New Mexico,
[1:16 - 1:23]  Oklahoma, Arkansas, Louisiana, and Alabama. Okay, you look into the... You go to this Novitas website,
[1:24 - 1:30]  it is like straight out of like 1998. Like it is a... I'm sorry. It is a fairly antiquated website.
[1:30 - 1:38]  It's kind of odd. It's... It's odd. Okay, next. Okay, so it's owned by Guidewell Source. Okay, it's got a parent
[1:38 - 1:42]  company. It's a parent company. It's Guidewell Source. That's kind of weird. Okay, Guidewell Source has a parent
[1:42 - 1:48]  company. It's called Guidewell. It's headquartered in Jacksonville, Florida. What in the world is
[1:48 - 1:55]  Guidewell? Who's ever heard of that? It's Florida Blue. It's the Blue Cross Blue Shield plan of Florida.
[1:56 - 2:02]  So you've got Guidewell up here and you've got Florida Blue here and you've got Novitas here, right?
[2:02 - 2:06]  So they're different subsidiaries, but essentially you could think of it as like, okay, like the same company
[2:06 - 2:12]  that owns Blue Cross Blue Shield does the claims processing for all these states for Medicare. Okay. Oh, by the way,
[2:12 - 2:19]  this holding company, Guidewell, they have $19 billion a year in revenue. Okay. They would be
[2:19 - 2:25]  165 on the Fortune 500 if they were a publicly traded company. They would be larger than Netflix.
[2:25 - 2:31]  They would be larger than Kimberly Clark, the maker of Huggies Diapers and Kleenex. Okay. So like
[2:31 - 2:38]  there's a lot of money in Medicare claims processing. Okay. Next up, Noridian. Okay. Again, kind of this
[2:38 - 2:42]  NO theme we've got going on here. Again, it's a big one because they do Medicare claims processing
[2:42 - 2:48]  for California and the rest of the Western United States. That's Oregon, Washington, Nevada,
[2:48 - 2:54]  Utah, some other states. Okay. What in the world is that? It's Blue Cross Blue Shield of North Dakota.
[2:54 - 3:02]  It's headquartered in Fargo. You need, and look at this, they process 15% of all Medicare claims,
[3:02 - 3:07]  right? So, oh, by the way, I couldn't find their revenue. I could not find their revenue. But listen,
[3:08 - 3:13]  if we know that Guidewell's doing $19 billion in revenue, then, you know, little Meridian in Fargo,
[3:13 - 3:19]  North Dakota, it's probably doing a lot. Okay. Again, if you go to their website, the pictures of
[3:19 - 3:26]  their board of directors, like two of them are not even in focus and like none of them match. It's just,
[3:26 - 3:32]  it's just odd. Okay. So what's my point? My point is, is that, you know, if we're talking about
[3:32 - 3:39]  either expanding Medicare coverage or Medicare for all, then like these MACs are a big deal now,
[3:39 - 3:44]  and they're going to become an even bigger deal, right? They determine all of the denials by
[3:44 - 3:49]  Medicare. They process all the claims. By the way, they do all the provider relations, like all the
[3:49 - 3:52]  docs and hospitals, if they have any questions about Medicare, they don't call the government.
[3:52 - 3:57]  They call these MACs. So I would just say, listen, I need your help. If you could just kind of look
