Title: Doctors Don't Disclose Full Conflict of Interest in Research
URL: https://www.youtube.com/watch?v=UOmjzsccElo
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is Doctors Don't Disclose Pharmaceutical Money in Research. Now, as point number one says here, researchers are supposed to disclose their conflicts of interest, which is oftentimes abbreviated COI. What does that mean? If they're doing research on a particular drug or a particular diagnostic test or procedure, then if they are receiving payment from the pharmaceutical company or from the med device company or anyone related to the type of research that they're doing, then they need to disclose that because that might be a conflict. Now, if physicians are receiving money for their research, not disclosing that conflict may erode public trust in the research. In other words, maybe the research wasn't unbiased because the researchers, the doctors themselves doing it, they were getting paid so they might skew the results in a certain direction because of the money they were receiving, either consciously or subconsciously. But regardless, if they're getting paid, it needs to be disclosed. As I've said in previous videos, I'm not here to say whether they should or should not be paid. I'm just saying it should be disclosed. I don't think anybody argues with that. Okay. So there was a fantastic article from the Mayo Clinic Proceedings, which is a peer reviewed journal from the Mayo Clinic from November of 2019. So just the end of last year, just a few months ago, where, as I've previously reported in A Healthcare Z, there is what is referred to as the CMS open payments, which reports the money that's paid by pharmaceutical companies and medical device makers to doctors. And the reporting doesn't come from the doctors. The reporting comes from the pharmaceutical manufacturers and the medical device companies themselves. So the doctors in the journal articles and in the research are supposed to disclose their payments. And then in open payments, the pharmaceutical companies disclose who they're given the money to. So if you compare those two lists, you can see which physicians are fully disclosing their information and which physicians are not fully disclosing their information. And that's exactly what they did in this study. Now, they looked at the researchers who, by the way, were not from the United States. They looked at the New England Journal of Medicine, the Journal of the American Medical Association, and the Lancet. And these are the three most prominent medical journals in the world. I mean, to become published in one of these three journals is the equivalent of like doing the halftime show at the Super Bowl or playing Carnegie Hall. I mean, this is a huge deal. And it gives you and your research a tremendous amount of credibility if you're published here. Now, they looked at studies between 2016 and 2018. Now, this requirement for CMS open payments was part of the Sunshine Act, which went into effect in 2013. So in other words, the researchers, they knew that people could go online and look up who was paying them. In other words, if they didn't disclose all of their payments, they could get very easily caught. And that, frankly, is the genius of this study, is that it's so obvious. You have the physicians reporting their payments here, and you have open payments with the actual payments over here. And it's like, you've got the answers to the test. I mean, literally, a high school student could do this study. I'm not criticizing the researchers for doing this. I think it's genius. And they looked at the first author and the last author for every single one of these publications during those years. And the first author is usually the lead author. And then the last author is typically the most senior person on the research team or the leader of the research team. So not only did they look at the most prominent journals, but they looked at the most promising researchers within each study. And what did they find? It is shocking. They found that 80%, 80% of the researchers did not disclose some or all of their conflict of interest. Okay, not 8%, not half, almost all, 8 out of 10, did not disclose some or all of their conflict of interest. Now, interestingly, what was the dollar amount of that undisclosed amount for industry-sponsored studies? So in other words, a pharmaceutical company sponsored a study about their new drug X. And the study was published about drug X. It turns out that the researchers didn't let the journal know that they were getting paid $21,000 by the pharmaceutical company. Now, interestingly, for studies that were not done in regards to a specific drug or medical device, the researchers only didn't report $149. So it was a lot less. So the amount of money that is not disclosed in pharmaceutical and medical device-sponsored research is much higher. Now, the conclusion of this article by the authors themselves in Mayo Clinical Proceedings said that, look, this puts into question the scientific impartiality. Is there scientific impartiality? Is it compromised? And if it's compromised, does that then compromise the public's trust in these journals and in their research? And I will just add, too, look, open payments has been there for a long time. This has been out there. Like I said, the genius of this study is that it's not hard to do. So I ask all of you, okay, if it's not hard to do, why did the New England Journal of Medicine, JAMA, and the Lancet just verify the author's true conflicts of interest by looking into CMS open payments themselves? They didn't do it. So if anything, in my opinion, the even bigger story here is that these major journals, they can't even police themselves. Now, I'm not here to completely solve this problem today, but this is something that everybody who works in healthcare needs to know about. And thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is
[0:05 - 0:12]  Doctors Don't Disclose Pharmaceutical Money in Research. Now, as point number one says here,
[0:13 - 0:17]  researchers are supposed to disclose their conflicts of interest, which is oftentimes
[0:17 - 0:23]  abbreviated COI. What does that mean? If they're doing research on a particular drug or a particular
[0:23 - 0:29]  diagnostic test or procedure, then if they are receiving payment from the pharmaceutical company
[0:29 - 0:34]  or from the med device company or anyone related to the type of research that they're doing,
[0:34 - 0:41]  then they need to disclose that because that might be a conflict. Now, if physicians are receiving
[0:41 - 0:50]  money for their research, not disclosing that conflict may erode public trust in the research.
[0:50 - 0:56]  In other words, maybe the research wasn't unbiased because the researchers, the doctors themselves
[0:56 - 1:02]  doing it, they were getting paid so they might skew the results in a certain direction because of the
[1:02 - 1:08]  money they were receiving, either consciously or subconsciously. But regardless, if they're getting
[1:08 - 1:14]  paid, it needs to be disclosed. As I've said in previous videos, I'm not here to say whether they
[1:14 - 1:18]  should or should not be paid. I'm just saying it should be disclosed. I don't think anybody argues
[1:18 - 1:24]  with that. Okay. So there was a fantastic article from the Mayo Clinic Proceedings, which is a peer
[1:24 - 1:30]  reviewed journal from the Mayo Clinic from November of 2019. So just the end of last year, just a few
[1:30 - 1:37]  months ago, where, as I've previously reported in A Healthcare Z, there is what is referred to as the
[1:37 - 1:44]  CMS open payments, which reports the money that's paid by pharmaceutical companies and medical device
[1:44 - 1:49]  makers to doctors. And the reporting doesn't come from the doctors. The reporting comes from the
[1:49 - 1:57]  pharmaceutical manufacturers and the medical device companies themselves. So the doctors in the
[1:57 - 2:02]  journal articles and in the research are supposed to disclose their payments. And then in open payments,
[2:03 - 2:08]  the pharmaceutical companies disclose who they're given the money to. So if you compare those two
[2:08 - 2:15]  lists, you can see which physicians are fully disclosing their information and which physicians
[2:15 - 2:22]  are not fully disclosing their information. And that's exactly what they did in this study. Now,
[2:23 - 2:28]  they looked at the researchers who, by the way, were not from the United States. They looked at the New
[2:28 - 2:33]  England Journal of Medicine, the Journal of the American Medical Association, and the Lancet. And these are
[2:33 - 2:40]  the three most prominent medical journals in the world. I mean, to become published in one of these
[2:40 - 2:47]  three journals is the equivalent of like doing the halftime show at the Super Bowl or playing Carnegie Hall.
[2:47 - 2:53]  I mean, this is a huge deal. And it gives you and your research a tremendous amount of credibility
[2:53 - 2:59]  if you're published here. Now, they looked at studies between 2016 and 2018. Now, this requirement for
[2:59 - 3:07]  CMS open payments was part of the Sunshine Act, which went into effect in 2013. So in other words,
[3:07 - 3:16]  the researchers, they knew that people could go online and look up who was paying them. In other words,
[3:16 - 3:23]  if they didn't disclose all of their payments, they could get very easily caught. And that, frankly,
[3:23 - 3:29]  is the genius of this study, is that it's so obvious. You have the physicians reporting their
[3:29 - 3:36]  payments here, and you have open payments with the actual payments over here. And it's like,
[3:36 - 3:40]  you've got the answers to the test. I mean, literally, a high school student could do this
[3:40 - 3:46]  study. I'm not criticizing the researchers for doing this. I think it's genius. And they looked at
[3:46 - 3:52]  the first author and the last author for every single one of these publications during those years.
[3:52 - 3:56]  And the first author is usually the lead author. And then the last author is typically the most senior
[3:56 - 4:00]  person on the research team or the leader of the research team. So not only did they look at the
[4:00 - 4:04]  most prominent journals, but they looked at the most promising researchers within each study.
[4:04 - 4:12]  And what did they find? It is shocking. They found that 80%, 80% of the researchers did not disclose
[4:12 - 4:20]  some or all of their conflict of interest. Okay, not 8%, not half, almost all, 8 out of 10,
[4:20 - 4:24]  did not disclose some or all of their conflict of interest. Now, interestingly,
[4:24 - 4:30]  what was the dollar amount of that undisclosed amount for industry-sponsored studies? So in other
[4:30 - 4:37]  words, a pharmaceutical company sponsored a study about their new drug X. And the study was published
[4:37 - 4:43]  about drug X. It turns out that the researchers didn't let the journal know that they were getting
